Geo_FIPS,Geo_NAME,TOTPOP,MEDAGE,WHITE,BLACK,INDIAN,ASIAN,PACISL,OTHER,MULTRACE,MEDINC,W_NORM,B_NORM,I_NORM,A_NORM,P_NORM,O_NORM,M_NORM
21067003504,"Census Tract 35.04, Fayette County, Kentucky",3222,26.4,2189,869,94,10,0,0,60,38317,0.36404457,0.144520206,0.015632796,0.001663063,0,0,0.00997838
21067003202,"Census Tract 32.02, Fayette County, Kentucky",6336,36.4,5281,857,0,24,0,0,174,36368,0.878263762,0.14252453,0,0.003991352,0,0,0.028937303
21067003501,"Census Tract 35.01, Fayette County, Kentucky",3879,30.4,2775,844,0,2,0,63,195,44183,0.461500083,0.140362548,0,0.000332613,0,0.010477299,0.032429736
21067003701,"Census Tract 37.01, Fayette County, Kentucky",3383,43.5,2374,833,41,0,0,88,47,61442,0.394811242,0.138533178,0.00681856,0,0,0.014634958,0.007816398
21067003703,"Census Tract 37.03, Fayette County, Kentucky",4711,31.6,3623,721,0,36,0,130,201,69778,0.602527856,0.119906868,0,0.005987028,0,0.021619824,0.033427574
21067003406,"Census Tract 34.06, Fayette County, Kentucky",6399,31.2,5690,682,0,12,0,15,0,55602,0.946283053,0.113420921,0,0.001995676,0,0.002494595,0
21067003910,"Census Tract 39.10, Fayette County, Kentucky",2256,24.7,1072,667,0,206,0,301,10,27808,0.178280392,0.110926326,0,0.034259105,0,0.050058207,0.001663063
21067004104,"Census Tract 41.04, Fayette County, Kentucky",4096,34.8,3277,655,12,50,0,0,102,38669,0.544985864,0.10893065,0.001995676,0.008315317,0,0,0.016963246
21067004204,"Census Tract 42.04, Fayette County, Kentucky",5608,39.5,4489,645,0,298,0,0,176,62772,0.746549144,0.107267587,0,0.049559288,0,0,0.029269915
21067002303,"Census Tract 23.03, Fayette County, Kentucky",4403,31.9,3559,624,0,166,0,46,8,44510,0.591884251,0.103775154,0,0.027606852,0,0.007650091,0.001330451
21067003101,"Census Tract 31.01, Fayette County, Kentucky",2930,39.6,2235,609,0,0,0,0,86,29365,0.371694662,0.101280559,0,0,0,0,0.014302345
21067003909,"Census Tract 39.09, Fayette County, Kentucky",2811,30.8,1792,585,0,148,0,32,254,34778,0.298020955,0.097289207,0,0.024613338,0,0.005321803,0.042241809
21067003908,"Census Tract 39.08, Fayette County, Kentucky",4310,33.1,3103,559,0,565,0,0,83,71303,0.516048561,0.092965242,0,0.09396308,0,0,0.013803426
21067000400,"Census Tract 4, Fayette County, Kentucky",1323,30.5,622,537,5,0,0,0,159,25401,0.103442541,0.089306503,0.000831532,0,0,0,0.026442707
21067001300,"Census Tract 13, Fayette County, Kentucky",2348,41,1584,533,7,0,0,137,87,25000,0.263429237,0.088641277,0.001164144,0,0,0.022783968,0.014468651
21067000101,"Census Tract 1.01, Fayette County, Kentucky",2807,31.2,2168,526,0,51,0,0,62,15667,0.360552137,0.087477133,0,0.008481623,0,0,0.010310993
21067000900,"Census Tract 9, Fayette County, Kentucky",4367,21.6,3494,519,0,230,16,0,108,13418,0.581074339,0.086312989,0,0.038250457,0.002660901,0,0.017961084
21067003913,"Census Tract 39.13, Fayette County, Kentucky",5577,36,4464,517,10,472,19,0,95,98799,0.742391485,0.085980376,0.001663063,0.078496591,0.00315982,0,0.015799102
21067003407,"Census Tract 34.07, Fayette County, Kentucky",3171,32.6,2455,469,0,168,0,0,79,52939,0.408282056,0.077997672,0,0.027939464,0,0,0.013138201
21067001000,"Census Tract 10, Fayette County, Kentucky",1287,29.8,795,445,11,36,0,0,0,31906,0.132213537,0.07400632,0.00182937,0.005987028,0,0,0
21067000102,"Census Tract 1.02, Fayette County, Kentucky",1786,47,1324,431,0,0,0,9,22,22775,0.220189589,0.071678031,0,0,0,0.001496757,0.003658739
21067001400,"Census Tract 14, Fayette County, Kentucky",2256,34.8,1736,419,0,44,0,0,57,33750,0.2887078,0.069682355,0,0.007317479,0,0,0.009479461
21067002002,"Census Tract 20.02, Fayette County, Kentucky",2021,37.9,1019,399,67,0,0,536,0,56969,0.169466157,0.066356228,0.011142525,0,0,0.089140196,0
21067002001,"Census Tract 20.01, Fayette County, Kentucky",5474,30.1,2380,396,0,42,0,2369,287,28500,0.39580908,0.065857309,0,0.006984866,0,0.393979711,0.047729919
21067000801,"Census Tract 8.01, Fayette County, Kentucky",4540,19.1,3428,380,0,576,0,11,145,22361,0.570098121,0.063196408,0,0.09579245,0,0.00182937,0.024114419
21067003300,"Census Tract 33, Fayette County, Kentucky",2872,38.2,2316,377,11,0,0,0,168,37212,0.385165475,0.062697489,0.00182937,0,0,0,0.027939464
21067000802,"Census Tract 8.02, Fayette County, Kentucky",3856,21.2,3111,337,32,295,0,8,73,13356,0.517379012,0.056045235,0.005321803,0.049060369,0,0.001330451,0.012140363
